,0,1,2,3,4,5,6,7,8
#Hippolyta_MND,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
#Theseus_MND,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
#FAIRIES.TITANIA.Mustardseed_MND,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
#FAIRIES_MND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
#FAIRIES.TITANIA.Mote_MND,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
#FAIRIES.OBERON_MND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#Titania_MND,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
#ATTENDANTS_MND,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
#Hermia_MND,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
#Philostrate_MND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
#Helena_MND,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
#FAIRIES.TITANIA_MND,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
#Egeus_MND,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#Quince_MND,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
#Snug_MND,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
#FAIRIES.TITANIA.Peaseblossom_MND,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
#RobinGoodfellow_MND,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
#FAIRIES.TITANIA.Cobweb_MND,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
#Flute_MND,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
#FAIRIES.TITANIA.1_MND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#Snout_MND,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
#Lysander_MND,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
#Bottom_MND,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
#Oberon_MND,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
#Starveling_MND,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
#Demetrius_MND,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
