,0,1,2,3,4,5,6,7,8
#SPIRITS.NYMPHS_Tmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
#Boatswain_Tmp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
#Ferdinand_Tmp,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
#Shipmaster_Tmp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
#SAILORS_Tmp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#Sebastian_Tmp,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
#Caliban_Tmp,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
#Stephano_Tmp,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
#SPIRITS.REAPERS_Tmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
#SPIRITS.Iris_Tmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
#Francisco_Tmp,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
#SPIRITS_Tmp,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
#Antonio_Tmp,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
#Prospero_Tmp,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
#Ariel_Tmp,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
#Alonso_Tmp,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
#Trinculo_Tmp,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
#SPIRITS.Ceres_Tmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
#Adrian_Tmp,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
#SPIRITS.Juno_Tmp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
#Miranda_Tmp,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
#Gonzalo_Tmp,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
