play,n_characters,n_words,n_lines,type
a-midsummer-nights-dream,30,16103,2234,comedy
alls-well-that-ends-well,38,22599,3080,comedy
antony-and-cleopatra,92,23796,3619,tragedy
as-you-like-it,33,21285,2851,comedy
coriolanus,86,26644,3896,tragedy
cymbeline,60,26863,3792,tragedy
hamlet,45,29670,4159,tragedy
henry-iv-part-1,45,23943,3155,history
henry-iv-part-2,65,25767,3435,history
henry-v,61,25569,3372,history
henry-vi-part-1,91,20493,2713,history
henry-vi-part-2,101,24449,3208,history
henry-vi-part-3,74,23283,2957,history
henry-viii,72,23351,3289,history
julius-caesar,63,19104,2657,tragedy
king-john,40,20402,2689,history
king-lear,60,25249,3648,tragedy
loves-labors-lost,24,20787,2900,comedy
macbeth,55,16481,2454,tragedy
measure-for-measure,34,21297,2972,comedy
much-ado-about-nothing,31,20802,2766,comedy
othello,35,25928,3684,tragedy
pericles,89,17760,2504,comedy
richard-ii,55,21787,2862,history
richard-iii,75,28253,3767,history
romeo-and-juliet,51,23920,3175,tragedy
the-comedy-of-errors,26,14360,1899,comedy
the-merchant-of-venice,35,20927,2736,comedy
the-merry-wives-of-windsor,25,21113,2912,comedy
the-taming-of-the-shrew,47,20424,2731,comedy
the-tempest,22,16070,2360,comedy
the-two-gentlemen-of-verona,23,16898,2311,comedy
the-winters-tale,48,24650,3479,comedy
timon-of-athens,80,17787,2560,tragedy
titus-andronicus,40,19781,2568,tragedy
troilus-and-cressida,43,25530,3576,comedy
twelfth-night,26,19489,2639,comedy
