path,c_total,c_a-midsummer-nights-dream,c_alls-well-that-ends-well,c_antony-and-cleopatra,c_as-you-like-it,c_coriolanus,c_cymbeline,c_hamlet,c_henry-iv-part-1,c_henry-iv-part-2,c_henry-v,c_henry-vi-part-1,c_henry-vi-part-2,c_henry-vi-part-3,c_henry-viii,c_julius-caesar,c_king-john,c_king-lear,c_loves-labors-lost,c_macbeth,c_measure-for-measure,c_much-ado-about-nothing,c_othello,c_pericles,c_richard-ii,c_richard-iii,c_romeo-and-juliet,c_the-comedy-of-errors,c_the-merchant-of-venice,c_the-merry-wives-of-windsor,c_the-taming-of-the-shrew,c_the-tempest,c_the-two-gentlemen-of-verona,c_the-winters-tale,c_timon-of-athens,c_titus-andronicus,c_troilus-and-cressida,c_twelfth-night
[document]/TEI/text/body/div/div/sp/l/w,592243,10858,11552,21730,8058,20666,22282,21053,13122,11855,13524,20382,20305,23253,22397,17454,20255,18408,9897,15343,13047,5405,20766,14135,21684,27791,20588,12097,15939,2466,16493,12286,12445,17590,13321,19411,17422,6963
[document]/TEI/text/body/div/div/sp/l/c,511032,9414,9946,18384,6988,17593,19033,18128,11378,10295,11723,17674,17691,20336,19181,15042,17599,15761,8592,13091,11203,4680,17786,12120,18870,24164,17874,10589,13835,2133,14358,10496,10782,14974,11416,16884,14996,6023
[document]/TEI/text/body/div/div/sp/p/w,203522,3254,10400,2066,12380,5914,3575,8201,10736,13177,11749,22,3931,12,539,1563,8,6326,6323,1013,8136,15071,5001,3310,0,445,3139,1750,4616,18502,3931,3563,4096,6659,4337,309,7810,11658
[document]/TEI/text/body/div/div/sp/p/c,175206,2789,8983,1758,10704,5090,3105,7024,9320,11388,10228,18,3391,9,467,1324,6,5434,5369,862,7019,13039,4312,2837,0,373,2682,1483,4015,15844,3352,3015,3517,5786,3700,263,6632,10068
[document]/TEI/text/body/div/div/sp/l/pc,116041,2179,2081,4619,1464,4018,4446,4212,2229,2051,2272,3808,3867,4484,4267,3564,3583,4003,2152,2930,2445,1059,4492,2697,3882,5487,4527,2469,2847,527,3646,2452,2403,3504,2663,3796,3534,1382
[document]/TEI/text/body/div/div/sp/l,79548,1429,1583,3236,1044,2975,3120,2868,1730,1549,1780,2684,2587,2905,3120,2361,2628,2574,1285,2203,1806,713,2882,1963,2780,3590,2644,1486,2062,324,2112,1737,1644,2491,1866,2488,2374,925
[document]/TEI/text/body/div/div/sp/p/pc,44527,736,1962,411,2438,1168,617,1853,2424,2992,2378,4,832,6,108,403,2,1380,1665,241,1771,3025,1021,705,0,87,747,405,982,4454,1003,873,1007,1238,878,79,2013,2619
[document]/TEI/text/body/div/div/sp/speaker/w,35525,508,1078,1242,900,1339,924,1157,813,1087,1004,721,963,1141,844,872,737,1081,1051,815,932,1048,1202,725,674,1332,977,1307,633,1434,924,646,887,835,1020,593,1145,934
[document]/TEI/text/body/div/div/sp,31060,505,937,1179,815,1107,857,1138,777,900,738,662,791,813,709,796,550,1064,1049,649,901,978,1182,639,555,1078,840,609,634,1022,895,647,858,747,801,568,1144,926
[document]/TEI/text/body/div/div/sp/speaker,31048,505,936,1179,813,1107,856,1137,777,900,738,662,791,813,709,796,550,1064,1049,649,900,977,1182,639,555,1078,839,609,633,1022,895,645,858,747,801,567,1144,926
[document]/TEI/text/body/div/div/sp/p/lb,27599,451,1393,303,1634,807,457,1140,1381,1735,1504,5,526,3,69,236,2,865,932,149,1100,1990,660,463,0,70,445,265,582,2556,566,524,578,842,620,43,1132,1571
[document]/TEI/text/body/div/div/stage/w,22162,491,458,904,383,821,690,670,481,578,501,878,1083,1118,1088,505,402,632,487,463,373,475,453,559,524,826,596,393,439,732,584,351,362,316,596,882,683,385
[document]/TEI/text/body/div/div/stage/c,17630,382,362,703,289,665,550,525,374,459,395,721,927,948,994,395,321,479,377,373,270,374,325,423,424,661,441,321,339,566,451,274,262,235,481,764,504,276
[document]/TEI/text/body/div/div/sp/stage/w,11298,196,276,343,429,337,661,288,189,282,198,272,342,316,428,192,269,368,286,203,512,180,233,350,301,382,256,216,243,385,506,303,252,235,185,270,313,301
[document]/TEI/text/body/div/div/sp/p,10918,179,523,149,597,302,149,486,455,620,504,3,209,3,18,131,2,340,450,65,423,767,243,203,0,33,211,111,189,983,260,255,305,227,276,21,551,675
[document]/TEI/text/body/div/div/sp/stage/c,10198,174,254,287,422,292,644,233,175,262,177,239,304,280,383,146,240,311,273,161,505,170,184,319,264,325,204,203,218,373,461,284,235,214,174,236,290,282
[document]/TEI/text/body/div/div/sp/lg/l/w,10154,1991,154,0,590,0,659,295,0,0,41,0,0,0,70,0,139,297,3689,0,41,326,161,193,103,0,34,513,0,24,0,127,128,142,66,0,0,371
[document]/TEI/text/body/div/div/sp/lg/l/c,8625,1669,132,0,487,0,541,236,0,0,32,0,0,0,58,0,123,246,3204,0,35,274,138,168,91,0,28,451,0,20,0,99,109,113,56,0,0,315
[document]/TEI/text/body/div/div/stage/pc,7534,199,163,329,145,258,230,213,161,177,191,309,323,375,255,195,159,240,166,185,151,180,179,188,158,278,195,105,150,248,198,139,128,131,181,248,255,149
[document]/TEI/text/body/div/div/stage,4728,111,105,207,95,162,151,140,123,121,116,174,168,173,101,127,82,168,104,119,100,103,132,133,100,167,153,70,99,169,129,91,101,80,121,122,196,115
